id_theme;sous_matiere_app;theme;nb_questions_associees;sessions;types_questions;score_priorite_provisoire;niveau_priorite;resume;points_cles;pieges;statut
THEME_BACT_ANTIBIOTIQUES;Bactériologie;Antibiotiques et résistances;6;S1;QCM;95;Ultra prioritaire;Très présent dans les QCM : antibiogramme, CMI, SARM, entérobactéries, mécanismes d’action, bêta-lactamines.;"Antibiogramme; CMI; SARM; vancomycine; bêta-lactamines; PLP; synthèse protéique; entérobactéries";"Confondre effet bactéricide et sensibilité; croire que SARM est sensible aux céphalosporines classiques; confondre bêta-lactamase et modification PLP";Non vu
THEME_BACT_TUBERCULOSE;Bactériologie;Tuberculose;2;S1;QCM;88;Très haute;"Présente dans les QCM avec épidémiologie et multirésistance ; aussi présente en DP maladies infectieuses dans la même session.";"Tuberculose multirésistante; Europe de l’Est; Chine; ordre de grandeur mondial; tuberculose maladie vs latente";Confondre zones de forte incidence et zones de multirésistance;Non vu
THEME_BACT_STREPTOCOQUES;Bactériologie;Streptocoques;4;S1;QCM;90;Ultra prioritaire;Plusieurs espèces reviennent : S. agalactiae, S. pyogenes, S. pneumoniae.;"Streptocoque B; infections néonatales; impétigo; angine; pneumocoque; otite enfant; sensibilité bêta-lactamines";Confondre streptocoque A, B et pneumocoque;Non vu
THEME_BACT_DIGESTIF;Bactériologie;Infections digestives bactériennes;2;S1;QCM;80;Haute;Deux QCM ciblent les diarrhées, les mécanismes toxinique/invasif et le diagnostic biologique.;"Diarrhée hydrique; syndrome dysentérique; typhoïde; hémoculture; leucocytes selles; H. pylori";Confondre H. pylori, C. difficile et Campylobacter;Non vu
THEME_BACT_DIAGNOSTIC;Bactériologie;Diagnostic bactériologique;3;S1;QCM;85;Très haute;Diagnostic direct/indirect, antibiogramme et hémocultures sont très structurants.;"Culture; PCR; sérologie; hémocultures; Gram; volume de sang; flacon positif";"Confondre sérologie avec diagnostic direct; oublier importance du volume d’hémoculture";Non vu
THEME_VIRO_VIH;Virologie;VIH;1;S1;QCM;92;Ultra prioritaire;"Présent avec les cellules cibles du VIH ; sera renforcé par le cas clinique VIH de session 2.";"Lymphocytes T CD4; monocytes; macrophages; dépistage; confirmation; charge virale";"Oublier monocytes/macrophages; confondre dépistage et suivi";Non vu
THEME_VIRO_CMV;Virologie;CMV;3;S1;QCM;95;Ultra prioritaire;CMV très représenté : transplantation, épidémiologie, réactivation, grossesse, avidité IgG.;"Sérologie pré-greffe; valganciclovir; PCR quantitative; réactivation; liquides biologiques; IgM; avidité IgG; transmission fœtale";"Croire qu’IgM CMV = primo-infection récente certaine; oublier la PCR quantitative chez transplanté";Non vu
THEME_VIRO_HERPESVIRUS;Virologie;Herpesvirus HSV VZV EBV CMV;6;S1;QCM;96;Ultra prioritaire;Famille virale dominante dans ce bloc : HSV, VZV, EBV, CMV.;"HSV latence ganglionnaire; excrétion asymptomatique; zona métamérique douloureux; EBV VCA/EBNA; CMV grossesse/transplantation";"Confondre HSV/VZV/EBV/CMV; utiliser le mauvais marqueur sérologique";Non vu
THEME_VIRO_HEPATITES;Virologie;Hépatites virales;3;S1;QCM;93;Ultra prioritaire;Hépatites présentes via chronicité, transcription inverse VHB et conduite à tenir devant sérologie VHC positive.;"VHB/VHC/VHD chroniques; VHA non chronique; VHB transcription inverse; ARN VHC si sérologie positive";"Inclure VHA dans chronique; oublier ARN VHC; oublier transcription inverse du VHB";Non vu
THEME_VIRO_ARBOVIRUS;Virologie;Arbovirus et fièvres hémorragiques;3;S1;QCM;82;Haute;Plusieurs QCM portent sur arbovirus, dengue, fièvre jaune et West-Nile.;"Dengue; fièvre jaune; West-Nile; Flaviviridae; Aedes; fièvres hémorragiques virales";"Confondre toutes les fièvres hémorragiques avec arbovirus; confondre Aedes et Anophèle";Non vu
