id;annee;session;source_pdf;bloc_annale;sous_matiere_app;type;numero_question;theme;sous_theme;question_resume;propositions_resume;reponse;correction_source;explication_courte;piege;priorite_provisoire;statut
QCM_2021_S1_BACT_001;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;1;Infections digestives bactériennes;Diarrhée toxinique vs invasive;QCM sur les mécanismes des infections digestives : diarrhée hydrique, syndrome dysentérique, Clostridium perfringens, TIAC.;A fièvre toxinique | B diarrhée hydrique toxinique | C C. perfringens lié aux antibiotiques | D syndrome dysentérique entéro-invasif | E TIAC non obligatoire;BD;correction_pdf;"La diarrhée hydrique est plutôt toxinique ; le syndrome dysentérique correspond à un mécanisme invasif.";Confondre diarrhée toxinique et diarrhée invasive.;Haute;Non vu
QCM_2021_S1_BACT_002;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;2;Antibiogramme;CMI et méthode des disques;QCM sur l’objectif de l’antibiogramme, la sensibilité bactérienne, la CMI et la méthode des disques.;A sensibilité aux antibiotiques | B effet bactéricide | C concordance diamètre-CMI | D valeur CMI | E systématique sur prélèvement non stérile;ACD;correction_pdf;"L’antibiogramme apprécie la sensibilité et permet une interprétation liée à la CMI ; il n’est pas systématique pour toute souche isolée d’un prélèvement non stérile.";Croire que l’antibiogramme mesure toujours l’effet bactéricide ou qu’il est toujours nécessaire.;Très haute;Non vu
QCM_2021_S1_BACT_003;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;3;Zoonoses;Bactéries transmises depuis l’animal;QCM demandant quelles espèces bactériennes sont responsables de zoonoses.;A Coxiella burnetii | B Pseudomonas aeruginosa | C Bartonella henselae | D Pasteurella multocida | E Salmonella Typhi;ACD;correction_pdf;Coxiella, Bartonella et Pasteurella sont classiquement associées à des zoonoses.;Mettre Salmonella Typhi alors que la transmission est strictement humaine.;Moyenne;Non vu
QCM_2021_S1_BACT_004;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;4;IST bactériennes;Résistances aux antibiotiques;QCM sur les résistances problématiques en France dans les IST bactériennes.;A pénicilline Treponema | B azithromycine Chlamydia | C doxycycline Chlamydia | D fluoroquinolones gonocoque | E ceftriaxone gonocoque;D;correction_pdf;La résistance aux fluoroquinolones chez Neisseria gonorrhoeae est un problème thérapeutique classique.;Confondre résistances émergentes surveillées et résistances réellement problématiques en première intention.;Haute;Non vu
QCM_2021_S1_BACT_005;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;5;Streptococcus agalactiae;Streptocoque B et infections néonatales;QCM sur Streptococcus agalactiae : groupe B, commensalisme vaginal, infections néonatales, sensibilité amoxicilline.;A streptocoque groupe B | B commensal vaginal | C pneumopathies adultes | D infections néonatales | E sensible amoxicilline;ABDE;correction_pdf;S. agalactiae est le streptocoque du groupe B, commensal vaginal, important dans les infections néonatales et sensible à l’amoxicilline.;Le confondre avec pneumocoque ou streptocoque A.;Haute;Non vu
QCM_2021_S1_BACT_006;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QRU;6;Syphilis;Traitement de première intention;QRU sur l’antibiotique de première intention dans la syphilis.;A ceftriaxone | B amoxicilline | C benzathine pénicilline | D ciprofloxacine | E azithromycine;C;correction_pdf;La benzathine pénicilline est le traitement de référence de la syphilis.;Remplacer à tort par ceftriaxone ou azithromycine.;Haute;Non vu
QCM_2021_S1_BACT_007;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;7;SARM;Antibiotiques actifs sur Staphylococcus aureus résistant à la méticilline;QCM sur les antibiotiques actifs sur le SARM.;A oxacilline | B vancomycine | C céfazoline | D colistine | E céfotaxime;B;correction_pdf;"La vancomycine est active sur le SARM ; les bêta-lactamines classiques comme oxacilline/céfazoline/céfotaxime ne le sont pas.";Penser qu’une céphalosporine classique fonctionne sur SARM.;Très haute;Non vu
QCM_2021_S1_BACT_008;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;8;Impétigo;Agents bactériens fréquents;QCM sur les micro-organismes responsables d’impétigo.;A staphylocoque coagulase négative | B streptocoque B | C streptocoque A | D anaérobies stricts | E Staphylococcus aureus;CE;correction_pdf;L’impétigo est classiquement dû à Staphylococcus aureus et/ou Streptococcus pyogenes.;Confondre streptocoque A et streptocoque B.;Haute;Non vu
QCM_2021_S1_BACT_009;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;9;Antibiotiques et entérobactéries;Spectre antibiotique;QCM demandant quels antibiotiques ne sont jamais actifs sur les entérobactéries.;A métronidazole | B imipénème | C amoxicilline | D céfotaxime | E vancomycine;AE;correction_pdf;Le métronidazole cible surtout les anaérobies stricts et la vancomycine n’agit pas sur les bacilles Gram négatif comme les entérobactéries.;Oublier que les entérobactéries sont des bacilles Gram négatif.;Haute;Non vu
QCM_2021_S1_BACT_010;2020-2021;S1;infectio 20-21 ses 1.pdf;Bactériologie;Bactériologie;QCM;10;Bronchite aiguë;Origine virale et antibiothérapie;QCM sur les bronchites aiguës : étiologie et prise en charge.;A pneumocoque principal | B Mycoplasma principal | C pas d’antibiothérapie en première intention | D souvent viral | E purpura associé;CD;correction_pdf;La bronchite aiguë est le plus souvent virale et l’antibiothérapie n’est pas indiquée en première intention.;Prescrire une antibiothérapie systématique.;Haute;Non vu
